customerId,averageAmount
CS7674,40.857142857142854
CS4170,67.46666666666667
CS5314,72.14285714285714
CS7321,34.25
CS7327,48.875
CS5747,59.4
CS7904,37.15384615384615
CS1467,68.5
CS5175,67.2
CS5332,67.14814814814815
CS3650,67.65
CS2987,75.4
CS3405,69.75
CS8745,49.07142857142857
CS8756,43.611111111111114
CS8344,34.9
CS7793,37.833333333333336
CS3976,73.26666666666667
CS4195,65.95833333333333
CS3500,71.19047619047619
CS8004,50.833333333333336
CS6057,68.29411764705883
CS2828,67.5
CS5018,65.12
CS1719,68.58823529411765
CS3902,70.375
CS3356,71.64516129032258
CS2558,68.6842105263158
CS5125,65.95
CS5975,78.29411764705883
CS3200,72.5
CS4012,62.916666666666664
CS3648,62.0
CS4743,68.6875
CS4109,64.2
CS8316,41.04
CS2244,75.57142857142857
CS7860,45.111111111111114
CS3024,72.41666666666667
CS2018,73.89473684210526
CS8373,46.375
CS5668,66.74074074074075
CS7322,44.625
CS5876,65.72222222222223
CS5064,80.0
CS2124,68.46666666666667
CS1532,67.05882352941177
CS8683,54.07142857142857
CS3859,69.57894736842105
CS2542,75.47058823529412
CS8269,39.61538461538461
CS7130,46.06666666666667
CS1895,71.42105263157895
CS7578,36.666666666666664
CS4383,78.44444444444444
CS5287,72.09375
CS1664,78.16
CS3309,72.4375
CS2628,73.62068965517241
CS3086,67.8695652173913
CS3580,74.36842105263158
CS2007,73.94444444444444
CS8565,40.23076923076923
CS3930,72.58823529411765
CS5475,68.63636363636364
CS1813,70.28
CS7184,47.333333333333336
CS1979,67.3529411764706
CS4957,71.04347826086956
CS1186,75.73684210526316
CS1398,67.7
CS7199,51.0
CS5252,69.29411764705883
CS4363,73.95833333333333
CS2582,64.17241379310344
CS4234,63.333333333333336
CS1427,65.66666666666667
CS3864,75.2
CS1595,64.8
CS2210,70.75
CS1518,60.578947368421055
CS4836,76.56521739130434
CS3002,63.36363636363637
CS2471,67.66666666666667
CS4340,77.05
CS7669,49.583333333333336
CS3061,76.04347826086956
CS7282,44.625
CS5292,68.18518518518519
CS1206,63.083333333333336
CS2466,64.375
CS1126,61.31578947368421
CS1579,71.65
CS2755,66.1
CS4754,71.15
CS2031,72.375
CS3784,70.44444444444444
CS8333,39.75
CS5955,65.92857142857143
CS4946,73.71428571428571
CS4697,65.92
CS2725,66.42857142857143
CS5621,63.714285714285715
CS8605,47.2
CS5945,74.33333333333333
CS3424,71.70588235294117
CS8619,36.333333333333336
CS4782,75.05882352941177
CS1675,75.85714285714286
CS2171,66.9375
CS5024,67.44444444444444
CS1584,72.0
CS7242,50.42857142857143
CS2024,69.17647058823529
CS3050,60.3
CS4320,69.65789473684211
CS2305,71.54166666666667
CS4163,73.88461538461539
CS7466,43.333333333333336
CS5276,66.3076923076923
CS3304,68.08333333333333
CS7281,42.30769230769231
CS1852,72.85714285714286
CS7520,50.84615384615385
CS4414,75.3
CS4282,71.10526315789474
CS5469,68.73684210526316
CS7173,45.84615384615385
CS8806,53.285714285714285
CS4563,66.96
CS4641,66.47368421052632
CS3795,72.5
CS4682,63.285714285714285
CS3905,65.6923076923077
CS1371,68.0
CS4963,65.42105263157895
CS2085,66.72
CS2119,73.95833333333333
CS7899,51.666666666666664
CS8896,42.76923076923077
CS8189,40.6
CS3389,70.75
CS1319,64.5
CS2321,78.0
CS2702,72.06896551724138
CS5610,72.94736842105263
CS7894,39.6
CS7849,43.625
CS8306,48.666666666666664
CS5836,68.96666666666667
CS1137,69.0
CS4547,65.4
CS4179,74.95652173913044
CS4702,68.6
CS3913,68.17647058823529
CS5934,69.35
CS4296,70.63636363636364
CS4652,70.95454545454545
CS3228,73.10714285714286
CS3457,74.85714285714286
CS1159,65.4090909090909
CS7823,46.15384615384615
CS2609,77.06666666666666
CS3537,68.6
CS7831,44.59090909090909
CS2344,72.17391304347827
CS2531,68.07692307692308
CS2752,61.111111111111114
CS3217,79.26315789473684
CS5426,69.6
CS1343,70.9047619047619
CS1178,69.77272727272727
CS2766,63.18518518518518
CS2255,71.88235294117646
CS8832,43.714285714285715
CS8015,43.5
CS8268,47.5
CS3245,66.05
CS2385,72.16666666666667
CS7482,40.0
CS1906,71.85714285714286
CS2097,68.73333333333333
CS7416,52.266666666666666
CS5440,63.8125
CS1360,71.22222222222223
CS1997,67.82352941176471
CS2078,74.9
CS4507,67.66666666666667
CS4464,78.38461538461539
CS1792,69.3529411764706
CS2258,69.11111111111111
CS1130,62.36842105263158
CS8940,42.84615384615385
CS4394,69.18181818181819
CS7901,39.785714285714285
CS8305,41.61538461538461
CS8983,44.92857142857143
CS8445,48.285714285714285
CS8706,47.0
CS2530,59.05263157894737
CS1450,62.55
CS5595,69.66666666666667
CS8903,38.25
CS8390,29.857142857142858
CS2922,65.13333333333334
CS3548,73.57894736842105
CS8384,45.23076923076923
CS3367,79.625
CS8752,50.77777777777778
CS5395,69.1
CS3364,72.13333333333334
CS3283,66.9
CS7333,37.25
CS1884,61.69230769230769
CS4475,77.17391304347827
CS3804,75.76190476190476
CS3479,72.5
CS2886,56.0625
CS8997,38.785714285714285
CS4313,71.38888888888889
CS5619,66.5625
CS7776,47.05263157894737
CS7704,39.15384615384615
CS8554,46.0
CS3431,75.5
CS8131,45.142857142857146
CS4310,71.7
CS5486,70.3
CS3476,73.44444444444444
CS1986,67.52941176470588
CS8503,41.416666666666664
CS3043,67.88235294117646
CS2878,70.0
CS5912,69.0
CS3598,69.9
CS4254,72.6
CS1781,73.48275862068965
CS2983,66.26086956521739
CS3483,68.17241379310344
CS4730,77.52380952380952
CS3843,76.27777777777777
CS7347,46.76190476190476
